Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1582	D02_allLanes_P	A11_allLanes_P	C01_plate28	097U	L-1-15	YO96_2	11	YJ60_1	F	F11
1610	D02_allLanes_P	A09_allLanes_P	C01_plate04	015H	L-1-15	YG97_2	13	YJ60_1	F	F13
1617	D02_allLanes_P	A11_allLanes_P	C01_plate24	081W	L-1-15	YO96_2	11	YJ60_1	F	F11
1638	D02_allLanes_P	A09_allLanes_P	C02_plate02	002R	L-1-18	YG97_2	13	YJ60_1	F	F13
1652	D02_allLanes_P	E06_allLanes_P	C01_plate27	097O	L-1-15	OC64_2	14	YJ60_1	F	F14
1673	D02_allLanes_P	B12_allLanes_P	C01_plate31	113M	L-1-15	YN92_2	12	YJ60_1	F	F12
1680	D02_allLanes_P	E04_allLanes_P	C03_plate20	068X	L-2-18	OS12_2	15	YJ60_1	F	F15
1701	D02_allLanes_P	A11_allLanes_P	C01_plate08	031F	L-1-15	YO96_2	11	YJ60_1	F	F11
1736	D02_allLanes_P	E06_allLanes_P	C03_plate02	002O	L-2-18	OC64_2	14	YJ60_1	F	F14
1785	D03_allLanes_P	B07_allLanes_P	B06_plate03	005R	M-2-15	OD53_2	24	YS24_1	J	J24
1790	D03_allLanes_P	G04_allLanes_P	B06_plate24	071Y	M-2-15	YF88_2	25	YS24_1	J	J25
1795	D03_allLanes_P	E11_allLanes_P	C05_plate04	004W	M-1-18	YV93_2	23	YS24_1	J	J23
1800	D03_allLanes_P	E11_allLanes_P	B06_plate11	037M	M-2-15	YV93_2	23	YS24_1	J	J23
1805	D03_allLanes_P	C04_allLanes_P	B05_plate25	086C	M-1-18	OG35_2	21	YS24_1	J	J21
1810	D03_allLanes_P	C04_allLanes_P	C06_plate11	038H	M-2-18	OG35_2	21	YS24_1	J	J21
1815	D03_allLanes_P	E11_allLanes_P	B04_plate31	087K	M-1-15	YV93_2	23	YS24_1	J	J23
1820	D03_allLanes_P	E11_allLanes_P	B06_plate07	021O	M-2-15	YV93_2	23	YS24_1	J	J23
1835	D03_allLanes_P	C04_allLanes_P	B04_plate29	085Y	M-1-15	OG35_2	21	YS24_1	J	J21
1840	D03_allLanes_P	E11_allLanes_P	C05_plate26	086J	M-1-18	YV93_2	23	YS24_1	J	J23
1845	D03_allLanes_P	A06_allLanes_P	B05_plate10	036E	M-1-18	YN49_2	22	YS24_1	J	J22
1865	D03_allLanes_P	A06_allLanes_P	C05_plate01	004E	M-1-18	YN49_2	22	YS24_1	J	J22
1870	D03_allLanes_P	B07_allLanes_P	B05_plate08	020S	M-1-18	OD53_2	24	YS24_1	J	J24
1885	D03_allLanes_P	A06_allLanes_P	B06_plate12	037S	M-2-15	YN49_2	22	YS24_1	J	J22
1890	D03_allLanes_P	E11_allLanes_P	C04_plate23	069P	M-1-15	YV93_2	23	YS24_1	J	J23
1895	D03_allLanes_P	A06_allLanes_P	B12_plate32	101F	M-1-15	YN49_2	22	YS24_1	J	J22
1900	D03_allLanes_P	E11_allLanes_P	C04_plate06	019F	M-1-15	YV93_2	23	YS24_1	J	J23
1905	D03_allLanes_P	E11_allLanes_P	B06_plate02	005L	M-2-15	YV93_2	23	YS24_1	J	J23
1910	D03_allLanes_P	A06_allLanes_P	C04_plate07	019L	M-1-15	YN49_2	22	YS24_1	J	J22
1935	D03_allLanes_P	B07_allLanes_P	B06_plate06	021J	M-2-15	OD53_2	24	YS24_1	J	J24
1945	D03_allLanes_P	C04_allLanes_P	B05_plate17	052U	M-1-18	OG35_2	21	YS24_1	J	J21
1960	D03_allLanes_P	C04_allLanes_P	B06_plate13	037Y	M-2-15	OG35_2	21	YS24_1	J	J21
1970	D03_allLanes_P	G04_allLanes_P	C04_plate29	085Z	M-1-15	YF88_2	25	YS24_1	J	J25
1975	D03_allLanes_P	B07_allLanes_P	C04_plate30	087F	M-1-15	OD53_2	24	YS24_1	J	J24
1990	D03_allLanes_P	E11_allLanes_P	C04_plate04	003U	M-1-15	YV93_2	23	YS24_1	J	J23
1995	D03_allLanes_P	E11_allLanes_P	B06_plate18	063O	M-2-15	YV93_2	23	YS24_1	J	J23
2000	D03_allLanes_P	G04_allLanes_P	B05_plate11	036K	M-1-18	YF88_2	25	YS24_1	J	J25
