Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1533	D02_allLanes_P	A09_allLanes_P	B02_plate29	098U	L-1-18	YG97_2	13	YJ60_1	F	F13
1547	D02_allLanes_P	A11_allLanes_P	B02_plate30	114A	L-1-18	YO96_2	11	YJ60_1	F	F11
1568	D02_allLanes_P	E04_allLanes_P	A02_plate20	066R	L-1-18	OS12_2	15	YJ60_1	F	F15
1582	D02_allLanes_P	E04_allLanes_P	B02_plate19	066M	L-1-18	OS12_2	15	YJ60_1	F	F15
1603	D02_allLanes_P	E06_allLanes_P	A01_plate11	031V	L-1-15	OC64_2	14	YJ60_1	F	F14
1617	D02_allLanes_P	E04_allLanes_P	B03_plate01	001K	L-2-15	OS12_2	15	YJ60_1	F	F15
1624	D02_allLanes_P	E04_allLanes_P	B01_plate30	113F	L-1-15	OS12_2	15	YJ60_1	F	F15
1631	D02_allLanes_P	A09_allLanes_P	B01_plate32	113R	L-1-15	YG97_2	13	YJ60_1	F	F13
1638	D02_allLanes_P	E06_allLanes_P	A02_plate15	048O	L-1-18	OC64_2	14	YJ60_1	F	F14
1666	D02_allLanes_P	A09_allLanes_P	A03_plate24	083W	L-2-15	YG97_2	13	YJ60_1	F	F13
1673	D02_allLanes_P	A11_allLanes_P	A02_plate03	016A	L-1-18	YO96_2	11	YJ60_1	F	F11
1680	D02_allLanes_P	A09_allLanes_P	B02_plate23	082K	L-1-18	YG97_2	13	YJ60_1	F	F13
1687	D02_allLanes_P	E06_allLanes_P	B03_plate10	033S	L-2-15	OC64_2	14	YJ60_1	F	F14
1694	D02_allLanes_P	E06_allLanes_P	A02_plate08	016Y	L-1-18	OC64_2	14	YJ60_1	F	F14
1701	D02_allLanes_P	A09_allLanes_P	B01_plate03	015A	L-1-15	YG97_2	13	YJ60_1	F	F13
1708	D02_allLanes_P	A09_allLanes_P	B01_plate19	065R	L-1-15	YG97_2	13	YJ60_1	F	F13
1715	D02_allLanes_P	A11_allLanes_P	B01_plate01	001A	L-1-15	YO96_2	11	YJ60_1	F	F11
1736	D02_allLanes_P	A09_allLanes_P	A01_plate14	047N	L-1-15	YG97_2	13	YJ60_1	F	F13
1750	D02_allLanes_P	E04_allLanes_P	A02_plate18	066F	L-1-18	OS12_2	15	YJ60_1	F	F15
1764	D02_allLanes_P	E06_allLanes_P	B03_plate09	033M	L-2-15	OC64_2	14	YJ60_1	F	F14
1785	D02_allLanes_P	E04_allLanes_P	B03_plate23	083R	L-2-15	OS12_2	15	YJ60_1	F	F15
1799	D02_allLanes_P	A11_allLanes_P	B01_plate10	031Q	L-1-15	YO96_2	11	YJ60_1	F	F11
