Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
2366	D06_allLanes_P	E09_allLanes_P	E01_plate02	001U	L-1-15	YO66_2	49	OC52_1	S	S49
2371	D06_allLanes_P	E09_allLanes_P	E03_plate23	084Q	L-2-18	YO66_2	49	OC52_1	S	S49
2376	D06_allLanes_P	C03_allLanes_P	E01_plate01	001G	L-1-15	YJ69_2	48	OC52_1	S	S48
2386	D06_allLanes_P	D09_allLanes_P	E02_plate15	049R	L-2-15	YO65_2	4	OC52_1	S	S4
2396	D06_allLanes_P	B05_allLanes_P	E01_plate12	047F	L-1-15	YG88_2	47	OC52_1	S	S47
2416	D06_allLanes_P	D09_allLanes_P	E03_plate28	100U	L-2-18	YO65_2	4	OC52_1	S	S4
2426	D06_allLanes_P	B05_allLanes_P	F01_plate09	031O	L-1-15	YG88_2	47	OC52_1	S	S47
2431	D06_allLanes_P	B05_allLanes_P	F02_plate25	083Z	L-2-15	YG88_2	47	OC52_1	S	S47
2456	D06_allLanes_P	B05_allLanes_P	E01_plate19	065U	L-1-15	YG88_2	47	OC52_1	S	S47
2466	D06_allLanes_P	C03_allLanes_P	E03_plate14	050P	L-2-18	YJ69_2	48	OC52_1	S	S48
2486	D06_allLanes_P	B05_allLanes_P	E03_plate31	116M	L-2-18	YG88_2	47	OC52_1	S	S47
2491	D06_allLanes_P	D09_allLanes_P	E02_plate28	099Q	L-2-15	YO65_2	4	OC52_1	S	S4
2501	D06_allLanes_P	C03_allLanes_P	E01_plate32	113U	L-1-15	YJ69_2	48	OC52_1	S	S48
2506	D06_allLanes_P	B05_allLanes_P	F02_plate23	083N	L-2-15	YG88_2	47	OC52_1	S	S47
2521	D06_allLanes_P	D09_allLanes_P	F01_plate07	031C	L-1-15	YO65_2	4	OC52_1	S	S4
2526	D06_allLanes_P	B05_allLanes_P	F02_plate05	017K	L-2-15	YG88_2	47	OC52_1	S	S47
2546	D06_allLanes_P	B05_allLanes_P	E03_plate06	018T	L-2-18	YG88_2	47	OC52_1	S	S47
2561	D06_allLanes_P	B05_allLanes_P	F03_plate01	002H	L-2-18	YG88_2	47	OC52_1	S	S47
2571	D06_allLanes_P	B05_allLanes_P	F02_plate32	115Q	L-2-15	YG88_2	47	OC52_1	S	S47
2581	D06_allLanes_P	B05_allLanes_P	E03_plate25	100C	L-2-18	YG88_2	47	OC52_1	S	S47
2606	D06_allLanes_P	B05_allLanes_P	F01_plate27	097R	L-1-15	YG88_2	47	OC52_1	S	S47
2656	D11_allLanes_P	E01_allLanes_P	E06_plate09	022X	M-2-18	YH28_2	28	YV88_1	K	K28
2666	D11_allLanes_P	E07_allLanes_P	E06_plate15	054H	M-2-18	OG51_2	29	YV88_1	K	K29
2676	D11_allLanes_P	G01_allLanes_P	E06_plate24	072V	M-2-18	YF30_2	26	YV88_1	K	K26
2691	D11_allLanes_P	E07_allLanes_P	E04_plate29	087B	M-1-15	OG51_2	29	YV88_1	K	K29
2706	D11_allLanes_P	G09_allLanes_P	E04_plate09	019Z	M-1-15	OF56_2	30	YV88_1	K	K30
2726	D11_allLanes_P	G09_allLanes_P	E05_plate33	101L	M-1-15	OF56_2	30	YV88_1	K	K30
2736	D11_allLanes_P	E01_allLanes_P	E04_plate24	069X	M-1-15	YH28_2	28	YV88_1	K	K28
2746	D11_allLanes_P	G09_allLanes_P	E06_plate31	104I	M-2-18	OF56_2	30	YV88_1	K	K30
2756	D11_allLanes_P	G01_allLanes_P	E06_plate06	022G	M-2-18	YF30_2	26	YV88_1	K	K26
2766	D11_allLanes_P	G09_allLanes_P	E04_plate07	019N	M-1-15	OF56_2	30	YV88_1	K	K30
2776	D11_allLanes_P	G01_allLanes_P	E06_plate08	022R	M-2-18	YF30_2	26	YV88_1	K	K26
