Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1436	B04_allLanes_P	H06_allLanes_P	D08_plate02	012L	H-1-18	OD43_2	42	OF09_1	R	R42
1441	B04_allLanes_P	E08_allLanes_P	C09_plate14	046Z	H-2-18	OL28_2	41	OF09_1	R	R41
1456	B04_allLanes_P	F01_allLanes_P	C09_plate01	014A	H-2-18	YD53_2	44	OF09_1	R	R44
1466	B04_allLanes_P	E08_allLanes_P	D08_plate12	044S	H-1-18	OL28_2	41	OF09_1	R	R41
1471	B04_allLanes_P	H02_allLanes_P	C08_plate32	118T	H-1-18	YD98_2	43	OF09_1	R	R43
1481	B04_allLanes_P	E08_allLanes_P	D08_plate08	028V	H-1-18	OL28_2	41	OF09_1	R	R41
1486	B04_allLanes_P	H02_allLanes_P	D07_plate02	011J	H-1-15	YD98_2	43	OF09_1	R	R43
1501	B04_allLanes_P	H06_allLanes_P	D09_plate29	112L	H-2-18	OD43_2	42	OF09_1	R	R42
1521	B04_allLanes_P	H06_allLanes_P	D07_plate13	043W	H-1-15	OD43_2	42	OF09_1	R	R42
1531	B04_allLanes_P	H06_allLanes_P	D08_plate07	028P	H-1-18	OD43_2	42	OF09_1	R	R42
1541	B04_allLanes_P	H02_allLanes_P	C08_plate10	044F	H-1-18	YD98_2	43	OF09_1	R	R43
1556	B04_allLanes_P	H02_allLanes_P	D09_plate11	046J	H-2-18	YD98_2	43	OF09_1	R	R43
1611	B10_allLanes_P	B06_allLanes_P	D03_plate16	068A	L-2-18	YN58_2	5	YS77_1	A	A5
1641	C06_allLanes_P	D05_allLanes_P	D01_plate13	047K	L-1-15	YT35_2	7	OC50_1	C	C7
1651	C11_allLanes_P	D05_allLanes_P	D03_plate08	034E	L-2-18	YT35_2	7	YT86_1	D	D7
1656	C11_allLanes_P	F08_allLanes_P	D02_plate21	082A	L-1-18	YG96_2	9	YT86_1	D	D9
1661	C11_allLanes_P	D05_allLanes_P	D02_plate30	114C	L-1-18	YT35_2	7	YT86_1	D	D7
1666	C11_allLanes_P	B01_allLanes_P	D01_plate30	113H	L-1-15	YJ88_2	6	YT86_1	D	D6
1671	C11_allLanes_P	H07_allLanes_P	D03_plate09	034K	L-2-18	OG59_2	10	YT86_1	D	D10
1701	D02_allLanes_P	E04_allLanes_P	D03_plate07	018Y	L-2-18	OS12_2	15	YJ60_1	F	F15
1708	D02_allLanes_P	E04_allLanes_P	D03_plate33	116X	L-2-18	OS12_2	15	YJ60_1	F	F15
1715	D02_allLanes_P	E04_allLanes_P	D01_plate04	015I	L-1-15	OS12_2	15	YJ60_1	F	F15
1729	D02_allLanes_P	A11_allLanes_P	D02_plate28	098Q	L-1-18	YO96_2	11	YJ60_1	F	F11
1743	D02_allLanes_P	A09_allLanes_P	D03_plate31	116L	L-2-18	YG97_2	13	YJ60_1	F	F13
1750	D02_allLanes_P	E04_allLanes_P	D03_plate18	068M	L-2-18	OS12_2	15	YJ60_1	F	F15
1757	D02_allLanes_P	A09_allLanes_P	D07_plate33	117L	H-1-15	YG97_2	13	YJ60_1	F	F13
1771	D02_allLanes_P	E04_allLanes_P	D01_plate08	031G	L-1-15	OS12_2	15	YJ60_1	F	F15
1785	D02_allLanes_P	E04_allLanes_P	D03_plate14	050O	L-2-18	OS12_2	15	YJ60_1	F	F15
1792	D02_allLanes_P	E04_allLanes_P	D03_plate12	050C	L-2-18	OS12_2	15	YJ60_1	F	F15
1799	D02_allLanes_P	E06_allLanes_P	D01_plate25	097D	L-1-15	OC64_2	14	YJ60_1	F	F14
1806	D02_allLanes_P	A09_allLanes_P	D03_plate29	100Z	L-2-18	YG97_2	13	YJ60_1	F	F13
1813	D02_allLanes_P	A09_allLanes_P	D01_plate09	031M	L-1-15	YG97_2	13	YJ60_1	F	F13
1820	D02_allLanes_P	A09_allLanes_P	D02_plate27	098K	L-1-18	YG97_2	13	YJ60_1	F	F13
1841	D02_allLanes_P	A09_allLanes_P	D01_plate11	031Y	L-1-15	YG97_2	13	YJ60_1	F	F13
1855	D02_allLanes_P	A09_allLanes_P	D01_plate01	001F	L-1-15	YG97_2	13	YJ60_1	F	F13
1869	D02_allLanes_P	A11_allLanes_P	D02_plate15	048R	L-1-18	YO96_2	11	YJ60_1	F	F11
1876	D02_allLanes_P	E04_allLanes_P	D03_plate32	116R	L-2-18	OS12_2	15	YJ60_1	F	F15
1883	D02_allLanes_P	E06_allLanes_P	D01_plate12	047E	L-1-15	OC64_2	14	YJ60_1	F	F14
1911	D02_allLanes_P	E04_allLanes_P	D02_plate24	082S	L-1-18	OS12_2	15	YJ60_1	F	F15
1925	D02_allLanes_P	A09_allLanes_P	D03_plate17	068G	L-2-18	YG97_2	13	YJ60_1	F	F13
1932	D02_allLanes_P	E06_allLanes_P	D03_plate04	018G	L-2-18	OC64_2	14	YJ60_1	F	F14
1939	D02_allLanes_P	A09_allLanes_P	D02_plate31	114I	L-1-18	YG97_2	13	YJ60_1	F	F13
1960	D02_allLanes_P	E06_allLanes_P	D03_plate30	116F	L-2-18	OC64_2	14	YJ60_1	F	F14
1967	D02_allLanes_P	E04_allLanes_P	D03_plate21	084D	L-2-18	OS12_2	15	YJ60_1	F	F15
2023	D02_allLanes_P	A09_allLanes_P	D02_plate20	066U	L-1-18	YG97_2	13	YJ60_1	F	F13
