Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
1111	B04_allLanes_P	H06_allLanes_P	H07_plate06	028F	H-1-18	OD43_2	42	OF09_1	R	R42
1116	B04_allLanes_P	H06_allLanes_P	H07_plate15	060G	H-1-18	OD43_2	42	OF09_1	R	R42
1126	B04_allLanes_P	H06_allLanes_P	H08_plate09	029Z	H-2-15	OD43_2	42	OF09_1	R	R42
1131	B04_allLanes_P	H02_allLanes_P	G09_plate09	046A	H-2-18	YD98_2	43	OF09_1	R	R43
1136	B04_allLanes_P	A01_allLanes_P	G08_plate30	111S	H-2-15	YI44_2	45	OF09_1	R	R45
1151	B04_allLanes_P	H06_allLanes_P	H07_plate28	110F	H-1-18	OD43_2	42	OF09_1	R	R42
1161	B04_allLanes_P	H02_allLanes_P	H08_plate11	045K	H-2-15	YD98_2	43	OF09_1	R	R43
1166	B04_allLanes_P	A01_allLanes_P	G09_plate26	096X	H-2-18	YI44_2	45	OF09_1	R	R45
1181	B04_allLanes_P	H02_allLanes_P	G08_plate01	013C	H-2-15	YD98_2	43	OF09_1	R	R43
1191	B04_allLanes_P	A01_allLanes_P	G09_plate10	046G	H-2-18	YI44_2	45	OF09_1	R	R45
1196	B04_allLanes_P	E08_allLanes_P	H07_plate11	044I	H-1-18	OL28_2	41	OF09_1	R	R41
1211	B04_allLanes_P	H02_allLanes_P	H08_plate04	013V	H-2-15	YD98_2	43	OF09_1	R	R43
1231	B04_allLanes_P	H06_allLanes_P	H09_plate28	112J	H-2-18	OD43_2	42	OF09_1	R	R42
1236	B04_allLanes_P	E08_allLanes_P	G09_plate24	096L	H-2-18	OL28_2	41	OF09_1	R	R41
1241	B04_allLanes_P	H02_allLanes_P	H09_plate16	062Q	H-2-18	YD98_2	43	OF09_1	R	R43
1246	B04_allLanes_P	H06_allLanes_P	H07_plate04	012T	H-1-18	OD43_2	42	OF09_1	R	R42
1256	B04_allLanes_P	H02_allLanes_P	G08_plate03	013O	H-2-15	YD98_2	43	OF09_1	R	R43
1266	B04_allLanes_P	F01_allLanes_P	G09_plate05	030C	H-2-18	YD53_2	44	OF09_1	R	R44
1281	B04_allLanes_P	F01_allLanes_P	G08_plate15	061H	H-2-15	YD53_2	44	OF09_1	R	R44
1301	B04_allLanes_P	E08_allLanes_P	H08_plate33	117X	H-2-15	OL28_2	41	OF09_1	R	R41
1306	B04_allLanes_P	H06_allLanes_P	H07_plate09	028X	H-1-18	OD43_2	42	OF09_1	R	R42
1326	B04_allLanes_P	H02_allLanes_P	G08_plate14	061B	H-2-15	YD98_2	43	OF09_1	R	R43
1336	B04_allLanes_P	E08_allLanes_P	G07_plate24	094H	H-1-18	OL28_2	41	OF09_1	R	R41
1366	B04_allLanes_P	F01_allLanes_P	G07_plate33	118V	H-1-18	YD53_2	44	OF09_1	R	R44
1371	B04_allLanes_P	E08_allLanes_P	G09_plate23	096F	H-2-18	OL28_2	41	OF09_1	R	R41
1376	B04_allLanes_P	H02_allLanes_P	H08_plate31	111Z	H-2-15	YD98_2	43	OF09_1	R	R43
1386	B04_allLanes_P	F01_allLanes_P	G09_plate17	062V	H-2-18	YD53_2	44	OF09_1	R	R44
1406	B04_allLanes_P	H02_allLanes_P	H09_plate12	046S	H-2-18	YD98_2	43	OF09_1	R	R43
1411	B04_allLanes_P	H06_allLanes_P	G09_plate22	080Z	H-2-18	OD43_2	42	OF09_1	R	R42
1416	B04_allLanes_P	H02_allLanes_P	H08_plate18	079A	H-2-15	YD98_2	43	OF09_1	R	R43
1436	B04_allLanes_P	H06_allLanes_P	G08_plate24	095J	H-2-15	OD43_2	42	OF09_1	R	R42
1456	B04_allLanes_P	H06_allLanes_P	H07_plate14	060A	H-1-18	OD43_2	42	OF09_1	R	R42
1476	B04_allLanes_P	F01_allLanes_P	G09_plate21	080T	H-2-18	YD53_2	44	OF09_1	R	R44
1491	B04_allLanes_P	H02_allLanes_P	H09_plate30	112V	H-2-18	YD98_2	43	OF09_1	R	R43
1561	C11_allLanes_P	H07_allLanes_P	H03_plate18	068Q	L-2-18	OG59_2	10	YT86_1	D	D10
1566	C11_allLanes_P	B11_allLanes_P	H02_plate08	033E	L-2-15	YO99_2	8	YT86_1	D	D8
1576	C11_allLanes_P	H07_allLanes_P	H01_plate05	016L	L-1-18	OG59_2	10	YT86_1	D	D10
1581	C11_allLanes_P	B11_allLanes_P	H03_plate26	100L	L-2-18	YO99_2	8	YT86_1	D	D8
1586	C11_allLanes_P	B01_allLanes_P	H01_plate27	098G	L-1-18	YJ88_2	6	YT86_1	D	D6
