Date_Time	Day	Time	Day_Time	Temp	System	Location
2021-06-14 05:00:00	8	5	8.5	14.888	R2_15	egg_chambers
2021-06-14 06:00:00	8	6	8.6	15.294	R2_15	egg_chambers
2021-06-14 07:00:00	8	7	8.7	14.601	R2_15	egg_chambers
2021-06-14 08:00:00	8	8	8.8	15.342	R2_15	egg_chambers
2021-06-14 09:00:00	8	9	8.9	14.816	R2_15	egg_chambers
2021-06-14 10:00:00	8	10	8.10	15.103	R2_15	egg_chambers
2021-06-10 00:00:00	8	24	8.24	18.176	R1_18	egg_chambers
2021-06-10 01:00:00	4	1	4.1	18.271	R1_18	egg_chambers
2021-06-10 02:00:00	4	2	4.2	18.343	R1_18	egg_chambers
2021-06-10 03:00:00	4	3	4.3	18.39	R1_18	egg_chambers
2021-06-10 04:00:00	4	4	4.4	18.438	R1_18	egg_chambers
2021-06-10 05:00:00	4	5	4.5	17.748	R1_18	egg_chambers
2021-06-10 06:00:00	4	6	4.6	17.843	R1_18	egg_chambers
2021-06-10 07:00:00	4	7	4.7	17.938	R1_18	egg_chambers
2021-06-10 08:00:00	4	8	4.8	18.033	R1_18	egg_chambers
2021-06-10 09:00:00	4	9	4.9	18.152	R1_18	egg_chambers
2021-06-10 10:00:00	4	10	4.10	18.271	R1_18	egg_chambers
2021-06-10 11:00:00	4	11	4.11	18.414	R1_18	egg_chambers
2021-06-10 12:00:00	4	12	4.12	17.796	R1_18	egg_chambers
2021-06-10 13:00:00	4	13	4.13	18.057	R1_18	egg_chambers
2021-06-10 14:00:00	4	14	4.14	18.319	R1_18	egg_chambers
2021-06-10 15:00:00	4	15	4.15	17.986	R1_18	egg_chambers
2021-06-10 16:00:00	4	16	4.16	18.081	R1_18	egg_chambers
2021-06-10 17:00:00	4	17	4.17	18.39	R1_18	egg_chambers
2021-06-10 18:00:00	4	18	4.18	17.843	R1_18	egg_chambers
2021-06-10 19:00:00	4	19	4.19	18.2	R1_18	egg_chambers
2021-06-10 20:00:00	4	20	4.20	18.509	R1_18	egg_chambers
2021-06-10 21:00:00	4	21	4.21	17.962	R1_18	egg_chambers
2021-06-10 22:00:00	4	22	4.22	18.224	R1_18	egg_chambers
2021-06-10 23:00:00	4	23	4.23	18.414	R1_18	egg_chambers
2021-06-11 00:00:00	4	24	4.24	17.796	R1_18	egg_chambers
2021-06-11 01:00:00	5	1	5.1	18.01	R1_18	egg_chambers
2021-06-11 02:00:00	5	2	5.2	18.176	R1_18	egg_chambers
2021-06-11 03:00:00	5	3	5.3	18.295	R1_18	egg_chambers
2021-06-11 04:00:00	5	4	5.4	18.39	R1_18	egg_chambers
2021-06-11 05:00:00	5	5	5.5	18.366	R1_18	egg_chambers
2021-06-11 06:00:00	5	6	5.6	17.843	R1_18	egg_chambers
2021-06-11 07:00:00	5	7	5.7	17.962	R1_18	egg_chambers
2021-06-11 08:00:00	5	8	5.8	18.081	R1_18	egg_chambers
2021-06-11 09:00:00	5	9	5.9	18.2	R1_18	egg_chambers
2021-06-11 10:00:00	5	10	5.10	18.343	R1_18	egg_chambers
2021-06-11 11:00:00	5	11	5.11	18.366	R1_18	egg_chambers
2021-06-11 12:00:00	5	12	5.12	17.938	R1_18	egg_chambers
2021-06-11 13:00:00	5	13	5.13	18.2	R1_18	egg_chambers
2021-06-11 14:00:00	5	14	5.14	18.461	R1_18	egg_chambers
2021-06-11 15:00:00	5	15	5.15	17.915	R1_18	egg_chambers
2021-06-11 16:00:00	5	16	5.16	18.295	R1_18	egg_chambers
2021-06-11 17:00:00	5	17	5.17	18.033	R1_18	egg_chambers
2021-06-11 18:00:00	5	18	5.18	18.129	R1_18	egg_chambers
2021-06-11 19:00:00	5	19	5.19	18.509	R1_18	egg_chambers
2021-06-11 20:00:00	5	20	5.20	17.986	R1_18	egg_chambers
2021-06-11 21:00:00	5	21	5.21	18.343	R1_18	egg_chambers
2021-06-11 22:00:00	5	22	5.22	17.867	R1_18	egg_chambers
2021-06-11 23:00:00	5	23	5.23	18.105	R1_18	egg_chambers
2021-06-12 00:00:00	5	24	5.24	18.39	R1_18	egg_chambers
2021-06-12 01:00:00	6	1	6.1	17.796	R1_18	egg_chambers
2021-06-12 02:00:00	6	2	6.2	18.105	R1_18	egg_chambers
2021-06-12 03:00:00	6	3	6.3	18.366	R1_18	egg_chambers
2021-06-12 04:00:00	6	4	6.4	17.843	R1_18	egg_chambers
2021-06-12 05:00:00	6	5	6.5	18.033	R1_18	egg_chambers
2021-06-12 06:00:00	6	6	6.6	18.295	R1_18	egg_chambers
2021-06-12 07:00:00	6	7	6.7	18.271	R1_18	egg_chambers
2021-06-12 08:00:00	6	8	6.8	17.986	R1_18	egg_chambers
2021-06-12 09:00:00	6	9	6.9	18.319	R1_18	egg_chambers
2021-06-12 10:00:00	6	10	6.10	17.986	R1_18	egg_chambers
2021-06-12 11:00:00	6	11	6.11	18.176	R1_18	egg_chambers
2021-06-12 12:00:00	6	12	6.12	18.366	R1_18	egg_chambers
2021-06-12 13:00:00	6	13	6.13	18.152	R1_18	egg_chambers
2021-06-12 14:00:00	6	14	6.14	18.247	R1_18	egg_chambers
2021-06-12 15:00:00	6	15	6.15	18.224	R1_18	egg_chambers
2021-06-12 16:00:00	6	16	6.16	18.057	R1_18	egg_chambers
2021-06-12 17:00:00	6	17	6.17	18.295	R1_18	egg_chambers
2021-06-12 18:00:00	6	18	6.18	17.867	R1_18	egg_chambers
2021-06-12 19:00:00	6	19	6.19	18.39	R1_18	egg_chambers
2021-06-12 20:00:00	6	20	6.20	17.915	R1_18	egg_chambers
2021-06-12 21:00:00	6	21	6.21	18.414	R1_18	egg_chambers
2021-06-12 22:00:00	6	22	6.22	17.891	R1_18	egg_chambers
2021-06-12 23:00:00	6	23	6.23	18.343	R1_18	egg_chambers
2021-06-13 00:00:00	6	24	6.24	17.796	R1_18	egg_chambers
2021-06-13 01:00:00	7	1	7.1	18.2	R1_18	egg_chambers
2021-06-13 02:00:00	7	2	7.2	18.438	R1_18	egg_chambers
2021-06-13 03:00:00	7	3	7.3	18.01	R1_18	egg_chambers
2021-06-13 04:00:00	7	4	7.4	18.343	R1_18	egg_chambers
2021-06-13 05:00:00	7	5	7.5	17.938	R1_18	egg_chambers
2021-06-13 06:00:00	7	6	7.6	18.081	R1_18	egg_chambers
2021-06-13 07:00:00	7	7	7.7	18.366	R1_18	egg_chambers
2021-06-13 08:00:00	7	8	7.8	17.796	R1_18	egg_chambers
2021-06-13 09:00:00	7	9	7.9	18.152	R1_18	egg_chambers
2021-06-13 10:00:00	7	10	7.10	18.461	R1_18	egg_chambers
2021-06-13 11:00:00	7	11	7.11	17.962	R1_18	egg_chambers
2021-06-13 12:00:00	7	12	7.12	18.343	R1_18	egg_chambers
2021-06-13 13:00:00	7	13	7.13	17.843	R1_18	egg_chambers
2021-06-13 14:00:00	7	14	7.14	18.247	R1_18	egg_chambers
2021-06-13 15:00:00	7	15	7.15	18.105	R1_18	egg_chambers
2021-06-13 16:00:00	7	16	7.16	18.2	R1_18	egg_chambers
2021-06-13 17:00:00	7	17	7.17	18.247	R1_18	egg_chambers
2021-06-13 18:00:00	7	18	7.18	18.176	R1_18	egg_chambers
2021-06-13 19:00:00	7	19	7.19	18.271	R1_18	egg_chambers
2021-06-13 20:00:00	7	20	7.20	18.152	R1_18	egg_chambers
2021-06-13 21:00:00	7	21	7.21	18.39	R1_18	egg_chambers
2021-06-13 22:00:00	7	22	7.22	18.057	R1_18	egg_chambers
2021-06-13 23:00:00	7	23	7.23	18.438	R1_18	egg_chambers
2021-06-14 00:00:00	7	24	7.24	17.915	R1_18	egg_chambers
2021-06-14 01:00:00	8	1	8.1	18.271	R1_18	egg_chambers
2021-06-14 02:00:00	8	2	8.2	18.081	R1_18	egg_chambers
2021-06-14 03:00:00	8	3	8.3	18.081	R1_18	egg_chambers
2021-06-14 04:00:00	8	4	8.4	18.414	R1_18	egg_chambers
2021-06-14 05:00:00	8	5	8.5	17.867	R1_18	egg_chambers
2021-06-14 06:00:00	8	6	8.6	18.2	R1_18	egg_chambers
2021-06-14 07:00:00	8	7	8.7	18.438	R1_18	egg_chambers
2021-06-14 08:00:00	8	8	8.8	17.867	R1_18	egg_chambers
2021-06-14 09:00:00	8	9	8.9	18.271	R1_18	egg_chambers
2021-06-14 10:00:00	8	10	8.10	18.033	R1_18	egg_chambers
2021-06-10 00:00:00	3	24	3.24	18.10	R2_18	egg_chambers
2021-06-10 01:00:00	4	1	4.1	18.32	R2_18	egg_chambers
2021-06-10 02:00:00	4	2	4.2	17.93	R2_18	egg_chambers
2021-06-10 03:00:00	4	3	4.3	18.19	R2_18	egg_chambers
2021-06-10 04:00:00	4	4	4.4	18.36	R2_18	egg_chambers
2021-06-10 05:00:00	4	5	4.5	17.97	R2_18	egg_chambers
2021-06-10 06:00:00	4	6	4.6	18.06	R2_18	egg_chambers
2021-06-10 07:00:00	4	7	4.7	18.23	R2_18	egg_chambers
2021-06-10 08:00:00	4	8	4.8	18.32	R2_18	egg_chambers
2021-06-10 09:00:00	4	9	4.9	18.44	R2_18	egg_chambers
2021-06-10 10:00:00	4	10	4.10	18.14	R2_18	egg_chambers
2021-06-10 11:00:00	4	11	4.11	18.44	R2_18	egg_chambers
2021-06-10 12:00:00	4	12	4.12	18.27	R2_18	egg_chambers
2021-06-10 13:00:00	4	13	4.13	18.06	R2_18	egg_chambers
2021-06-10 14:00:00	4	14	4.14	17.97	R2_18	egg_chambers
2021-06-10 15:00:00	4	15	4.15	18.40	R2_18	egg_chambers
2021-06-10 16:00:00	4	16	4.16	18.36	R2_18	egg_chambers
2021-06-10 17:00:00	4	17	4.17	18.23	R2_18	egg_chambers
2021-06-10 18:00:00	4	18	4.18	18.14	R2_18	egg_chambers
2021-06-10 19:00:00	4	19	4.19	18.06	R2_18	egg_chambers
2021-06-10 20:00:00	4	20	4.20	17.97	R2_18	egg_chambers
2021-06-10 21:00:00	4	21	4.21	18.44	R2_18	egg_chambers
2021-06-10 22:00:00	4	22	4.22	18.23	R2_18	egg_chambers
2021-06-10 23:00:00	4	23	4.23	17.93	R2_18	egg_chambers
2021-06-11 00:00:00	4	24	4.24	18.32	R2_18	egg_chambers
2021-06-11 01:00:00	5	1	5.1	17.89	R2_18	egg_chambers
2021-06-11 02:00:00	5	2	5.2	18.23	R2_18	egg_chambers
2021-06-11 03:00:00	5	3	5.3	18.49	R2_18	egg_chambers
