animal	sire	dam
118L	YI44_2	OF09_1
118M	YI44_2	OF09_1
118N	YD22_2	YP37_1
118O	OV17_2	YP37_1
118R	YD98_2	OF09_1
118S	YD98_2	OF09_1
118T	YD98_2	OF09_1
118U	OV17_2	YP37_1
118V	YD53_2	OF09_1
118W	YA99_2	YN45_1
118X	OD43_2	OF09_1
118Y	YD53_2	OF09_1
118Z	OD51_2	YL85_1
119A	YR84_2	YV27_1
119B	YG06_2	YV27_1
119D	YT79_2	OF06_1
119E	YI06_2	OF06_1
119F	OD19_2	YK96_1
119G	YR82_2	YV27_1
119H	OD19_2	YK96_1
119I	YS90_2	OF06_1
119N	OL26_2	OF06_1
119O	OL26_2	OF06_1
119P	OF65_2	OF06_1
119Q	YT79_2	OF06_1
119S	OH33_2	OC05_1
119U	OH33_2	OC05_1
119V	OG53_2	YK96_1
119X	YG06_2	YV27_1
119Z	OH33_2	OC05_1
120B	YI06_2	OF06_1
120C	OL26_2	OF06_1
120D	OL26_2	YG60_1
120F	OS02_2	YK96_1
120G	OJ25_2	YK96_1
120H	OG53_2	YK96_1
120J	YG06_2	YV27_1
120L	OL26_2	YG60_1
120M	OS02_2	YK96_1
120O	OF65_2	OF06_1
120P	OO53_2	YV27_1
120Q	YR54_2	YK96_1
120R	OL26_2	OF06_1
120S	YI06_2	YG60_1
120T	YS90_2	OF06_1
120U	YG06_2	YV27_1
120V	OD19_2	YK96_1
120W	OF65_2	YG60_1
120X	OD19_2	YK96_1
120Z	OH33_2	OC05_1
