animal	sire	dam
019K	OJ16_2	OF45_1
019L	YN49_2	YS24_1
019M	YN49_2	YR31_1
019N	OF56_2	YV88_1
019O	OG35_2	YS24_1
019P	OF56_2	YV88_1
019Q	YF88_2	YR31_1
019R	OG35_2	YS24_1
019S	OG35_2	YR31_1
019T	OD53_2	YS24_1
019U	YV93_2	YR31_1
019V	YN49_2	YS24_1
019W	YV93_2	YS24_1
019X	YV94_2	OG13_1
019Z	OF56_2	YV88_1
020A	YH28_2	YX21_1
020B	YH28_2	YV88_1
020C	YH28_2	YX21_1
020D	OJ16_2	OF45_1
020E	OG35_2	YS24_1
020F	YF30_2	YX21_1
020G	YH28_2	YV88_1
020H	YF30_2	YV88_1
020I	YN49_2	YS24_1
020J	YF30_2	YX21_1
020K	OG51_2	YV88_1
020L	OG35_2	YS24_1
020M	YN49_2	YR31_1
020N	YF30_2	YX21_1
020O	YN49_2	YS24_1
020P	YF88_2	YS24_1
020Q	OD53_2	YR31_1
020R	YH28_2	YX21_1
020S	OD53_2	YS24_1
020T	YF88_2	YR31_1
020U	YH28_2	YV88_1
020V	OD53_2	YS24_1
020W	YH28_2	YV88_1
020X	OJ16_2	OF45_1
020Y	YV94_2	OF45_1
020Z	YV93_2	YS24_1
021A	YF30_2	YX21_1
021B	YN49_2	YS24_1
021C	OJ16_2	OF45_1
021D	YF88_2	YR31_1
021E	YV94_2	OF45_1
021F	YV93_2	YR31_1
021G	OG51_2	YX21_1
021H	YF30_2	YV88_1
021I	YH28_2	YX21_1
021J	OD53_2	YS24_1
021K	YV93_2	YR31_1
021L	YH28_2	YV88_1
021M	YV93_2	YR31_1
021N	YV94_2	OF45_1
021O	YV93_2	YS24_1
021P	OG35_2	YS24_1
021Q	YV94_2	OF45_1
021R	YF30_2	YX21_1
021T	YF30_2	YX21_1
021U	YH28_2	YV88_1
021V	YV93_2	YS24_1
021W	YV93_2	YS24_1
021X	YV94_2	OG13_1
021Y	OG51_2	YX21_1
021Z	YV93_2	YR31_1
022A	YN49_2	YS24_1
022B	YV93_2	YS24_1
022C	YF30_2	YX21_1
022D	OD53_2	YS24_1
022E	YV94_2	OF45_1
022F	OF56_2	YV88_1
022G	YF30_2	YV88_1
022H	YV93_2	YS24_1
022I	YH28_2	YV88_1
022J	OG35_2	YR31_1
022K	OF56_2	YV88_1
022L	YV94_2	OF45_1
022M	YH28_2	YV88_1
022N	YV93_2	YS24_1
022O	OF56_2	YX21_1
022P	YV94_2	OG13_1
022Q	OF56_2	YV88_1
022R	YF30_2	YV88_1
022S	YH28_2	YV88_1
022U	YH28_2	YV88_1
022V	YV93_2	YR31_1
